Year,ID,LaborStatus,MaritalStatus,NumChildren,Age,HighestSchoolCompleted,Sex,Race,ChildhoodFamilyIncome,TotalFamilyIncome,RespondentIncome,PoliticalParty,OpinionOfIncome,SexualOrientation
2014,1,Working fulltime,Divorced,0,53.000000,16,Male,White,Below average,$25000 or more,$25000 or more,Not str republican,Above average,Heterosexual or straight
2014,2,Working fulltime,Married,0,26.000000,16,Female,White,Average,$25000 or more,$25000 or more,Not str republican,Above average,Heterosexual or straight
2014,3,"Unempl, laid off",Divorced,1,59.000000,13,Male,White,Below average,$25000 or more,Not applicable,Strong republican,Below average,Heterosexual or straight
2014,4,Working parttime,Married,2,56.000000,16,Female,White,Below average,$25000 or more,$10000 - 14999,Not str republican,Above average,Heterosexual or straight
2014,5,Retired,Married,3,74.000000,17,Female,White,Above average,Refused,Not applicable,Independent,Average,Heterosexual or straight
2014,6,Working fulltime,Married,1,56.000000,17,Female,White,Above average,$25000 or more,$25000 or more,Strong republican,Above average,No answer
2014,7,No answer,Married,2,63.000000,12,Male,White,Below average,Refused,Refused,Strong republican,No answer,Not applicable
2014,8,Working fulltime,Married,2,34.000000,17,Male,White,Average,$25000 or more,$25000 or more,Don't know,Average,Not applicable
2014,9,Other,Never married,4,37.000000,10,Female,White,Average,$15000 - 19999,Not applicable,Independent,Below average,Heterosexual or straight
2014,10,Working fulltime,Married,3,30.000000,15,Female,Other,Far below average,$25000 or more,$25000 or more,Independent,Average,Heterosexual or straight
2014,11,Keeping house,Married,2,43.000000,5,Female,Other,Far below average,$10000 - 14999,Not applicable,Independent,Don't know,Heterosexual or straight
2014,12,Other,Never married,0,56.000000,11,Male,White,Below average,$10000 - 14999,Not applicable,Independent,Far above average,Heterosexual or straight
2014,13,Retired,Divorced,5,69.000000,8,Male,White,Below average,$15000 - 19999,Not applicable,Independent,Far below average,Heterosexual or straight
2014,14,Working fulltime,Married,2,40.000000,11,Female,White,Below average,$20000 - 24999,$20000 - 24999,Not str democrat,Far below average,Not applicable
2014,15,School,Never married,0,25.000000,16,Female,White,Below average,$25000 or more,$25000 or more,Independent,Average,Heterosexual or straight
2014,16,Working parttime,Married,3,56.000000,16,Male,White,Average,$25000 or more,$20000 - 24999,Strong republican,Average,Heterosexual or straight
2014,17,Working parttime,Divorced,3,51.000000,13,Female,Other,Below average,$10000 - 14999,$25000 or more,Not str democrat,Below average,Not applicable
2014,18,Working fulltime,Never married,0,46.000000,13,Male,White,Average,$25000 or more,$25000 or more,Independent,Average,Not applicable
2014,19,Working fulltime,Married,2,51.000000,14,Male,White,Average,$25000 or more,$20000 - 24999,"Ind,near rep",Average,Heterosexual or straight
2014,20,Working fulltime,Divorced,2,39.000000,8,Female,Other,Average,$7000 to 7999,$6000 to 6999,Not str democrat,Far above average,Not applicable
2014,21,Working fulltime,Divorced,2,30.000000,14,Female,Black,Average,$20000 - 24999,$20000 - 24999,Independent,Below average,Heterosexual or straight
2014,22,Keeping house,Never married,3,36.000000,12,Female,White,Below average,Don't know,Not applicable,"Ind,near rep",Average,Heterosexual or straight
2014,23,Keeping house,Separated,3,42.000000,11,Female,White,Above average,$10000 - 14999,Not applicable,Not str democrat,Average,Heterosexual or straight
2014,24,School,Never married,0,38.000000,14,Male,Other,Average,$25000 or more,Not applicable,Not str democrat,Below average,Heterosexual or straight
2014,25,Working fulltime,Never married,2,38.000000,15,Female,White,Average,$25000 or more,$25000 or more,Strong democrat,Below average,Heterosexual or straight
2014,26,Working parttime,Never married,0,28.000000,18,Female,Black,Above average,Lt $1000,Not applicable,"Ind,near dem",Far below average,Heterosexual or straight
2014,27,Working fulltime,Separated,2,35.000000,13,Male,White,Average,$20000 - 24999,$20000 - 24999,Independent,Average,Heterosexual or straight
2014,28,Working fulltime,Married,6,57.000000,16,Male,White,Average,$25000 or more,$25000 or more,Not str republican,Above average,Heterosexual or straight
2014,29,Working fulltime,Married,2,50.000000,15,Male,White,Below average,$25000 or more,$25000 or more,"Ind,near dem",Above average,Heterosexual or straight
2014,30,Working fulltime,Divorced,1,54.000000,16,Male,White,Average,$25000 or more,$25000 or more,"Ind,near dem",Average,Heterosexual or straight
2014,31,Keeping house,Married,0,No answer,17,Female,White,Above average,$25000 or more,Not applicable,Independent,Average,Heterosexual or straight
2014,32,Working fulltime,Divorced,3,61.000000,16,Female,White,Far below average,$25000 or more,$25000 or more,"Ind,near dem",Below average,Heterosexual or straight
2014,33,Temp not working,Never married,0,54.000000,16,Female,White,Average,$25000 or more,Refused,Not str republican,Above average,Heterosexual or straight
2014,34,Working fulltime,Married,2,47.000000,16,Male,White,Average,Refused,Refused,No answer,Average,Heterosexual or straight
2014,35,Working fulltime,Married,2,53.000000,12,Male,Other,Below average,$25000 or more,Not applicable,Not str democrat,Average,Heterosexual or straight
2014,36,Working fulltime,Married,2,37.000000,12,Female,Black,Far below average,Don't know,$20000 - 24999,Independent,Far below average,Dont know
2014,37,Working fulltime,Never married,2,38.000000,11,Female,Other,Average,$25000 or more,$8000 to 9999,Independent,Below average,Heterosexual or straight
2014,38,Working fulltime,Divorced,0,31.000000,14,Male,White,Above average,$25000 or more,$25000 or more,"Ind,near rep",Average,Heterosexual or straight
2014,39,Working parttime,Widowed,2,69.000000,10,Female,White,Below average,$25000 or more,Don't know,Not str republican,Average,Heterosexual or straight
2014,40,Working fulltime,Married,1,35.000000,16,Male,White,Below average,$25000 or more,$25000 or more,Not str democrat,Above average,Heterosexual or straight
2014,41,Working parttime,Married,2,61.000000,17,Female,White,Average,Refused,Refused,"Ind,near rep",Above average,Heterosexual or straight
2014,42,Retired,Married,3,80.000000,14,Male,White,Below average,$25000 or more,Not applicable,Strong republican,Below average,Not applicable
2014,43,Other,Never married,0,59.000000,11,Male,White,Below average,Refused,Not applicable,Independent,Below average,Heterosexual or straight
2014,44,Working fulltime,Never married,0,26.000000,14,Male,White,Average,Refused,$25000 or more,"Ind,near dem",Average,Heterosexual or straight
2014,45,Working fulltime,Separated,1,50.000000,16,Female,White,Average,$25000 or more,$25000 or more,Strong republican,Above average,Heterosexual or straight
2014,46,Working fulltime,Never married,2,43.000000,12,Female,Black,Far below average,$25000 or more,$25000 or more,Strong democrat,Below average,Heterosexual or straight
2014,47,Working fulltime,Never married,0,30.000000,15,Male,White,Average,$25000 or more,$25000 or more,Not str republican,Average,Heterosexual or straight
2014,48,Working fulltime,Married,4,59.000000,11,Male,White,Below average,$25000 or more,$25000 or more,Not str democrat,Average,Heterosexual or straight
2014,49,Working fulltime,Married,0,32.000000,15,Female,White,Average,$25000 or more,$25000 or more,Not str democrat,Average,Heterosexual or straight
2014,50,Working fulltime,Married,2,32.000000,14,Male,Other,Far below average,$25000 or more,$25000 or more,Not str democrat,Below average,Bisexual
2014,51,Working fulltime,Married,3,52.000000,18,Female,White,Above average,$25000 or more,$25000 or more,Independent,Above average,Heterosexual or straight
2014,52,Working fulltime,Married,1,42.000000,16,Male,White,Average,$25000 or more,$25000 or more,Strong democrat,Above average,Heterosexual or straight
2014,53,Working fulltime,Married,0,29.000000,14,Male,Other,Far below average,$25000 or more,$25000 or more,Strong democrat,Below average,Heterosexual or straight
2014,54,Keeping house,Widowed,3,81.000000,12,Female,White,Average,$25000 or more,Not applicable,Independent,Above average,Heterosexual or straight
2014,55,Working fulltime,Married,1,51.000000,18,Male,Other,Above average,$25000 or more,$25000 or more,Not str republican,Above average,Heterosexual or straight
2014,56,Working parttime,Never married,0,24.000000,17,Female,Black,Below average,$6000 to 6999,$1000 to 2999,Strong democrat,Below average,Heterosexual or straight
2014,57,Retired,Widowed,0,63.000000,15,Female,White,Average,$10000 - 14999,Not applicable,Not str republican,Far below average,Bisexual
2014,58,Working fulltime,Never married,0,44.000000,18,Female,White,Average,$25000 or more,$25000 or more,Not str democrat,Average,Heterosexual or straight
2014,59,Working fulltime,Never married,0,56.000000,18,Female,White,Average,$25000 or more,$25000 or more,Strong republican,Above average,"Gay, lesbian, or homosexual"
2014,60,Keeping house,Married,1,43.000000,16,Female,Other,Average,$25000 or more,Not applicable,Strong democrat,Above average,Heterosexual or straight
2014,61,Working parttime,Never married,0,51.000000,16,Male,White,Average,$20000 - 24999,$20000 - 24999,Not str democrat,Below average,"Gay, lesbian, or homosexual"
2014,62,Working fulltime,Never married,0,32.000000,16,Female,Other,Above average,$20000 - 24999,$20000 - 24999,"Ind,near dem",Below average,Heterosexual or straight
2014,63,Other,Married,0,47.000000,20,Female,Other,Below average,$25000 or more,$25000 or more,Not str democrat,Average,Heterosexual or straight
2014,64,Working fulltime,Never married,0,47.000000,16,Female,Other,Above average,$25000 or more,$25000 or more,"Ind,near dem",Above average,Heterosexual or straight
2014,65,Working fulltime,Married,0,34.000000,20,Male,Other,Above average,$25000 or more,$25000 or more,Independent,Above average,Heterosexual or straight
2014,66,Working fulltime,Married,2,69.000000,16,Male,White,Above average,$25000 or more,$25000 or more,Strong democrat,Above average,Heterosexual or straight
2014,67,Working fulltime,Married,0,65.000000,16,Female,White,Average,$25000 or more,$25000 or more,Not str republican,Far above average,Heterosexual or straight
2014,68,Working fulltime,Divorced,3,57.000000,18,Male,White,Average,$25000 or more,$25000 or more,Independent,Above average,Heterosexual or straight
2014,69,Working fulltime,Never married,0,24.000000,16,Male,White,Far above average,$25000 or more,Not applicable,Not str republican,Below average,Heterosexual or straight
2014,70,Working fulltime,Never married,0,32.000000,12,Male,White,Average,$25000 or more,$20000 - 24999,Strong republican,Average,Heterosexual or straight
2014,71,Other,Divorced,2,51.000000,14,Male,White,Average,$25000 or more,Not applicable,"Ind,near dem",Below average,Heterosexual or straight
2014,72,Retired,Married,2,66.000000,20,Female,White,Average,$25000 or more,$25000 or more,Strong democrat,Average,Heterosexual or straight
2014,73,Working fulltime,Married,2,51.000000,16,Female,White,Average,$25000 or more,$25000 or more,Independent,Average,Heterosexual or straight
